author_did,kmeans_cluster,dbscan_cluster
did:plc:2224x6c53tqc6dpnbamce2yg,0,0
did:plc:222h35q7urjpjafryjwqn3ae,0,0
did:plc:223surfias2t3sgc3nlumah5,0,0
did:plc:224izruakrnberlqshv5kg2p,0,0
did:plc:224jzjuk3s5kk3zzsezg643r,0,0
did:plc:225g4y2e35b4fylvbsbe752f,1,-1
did:plc:225s45yvh5e6q27lfffzrzm4,0,0
did:plc:227eqyr6a7ug4vp5q2bwomc4,0,0
did:plc:227igwldhxawkqptn2p6hhen,0,0
did:plc:227ktaxmuhodbvml5giclapy,0,0
did:plc:227qnypcxaxvwaka5czhgz72,0,0
did:plc:22apb7gvrkbrlmti567ywiti,0,0
did:plc:22ari5hf4gpzqlvbkqppfmcq,0,0
did:plc:22bnppn7mrx35irpyk7tlqw2,0,0
did:plc:22coqmaear2fwlrollu5hoax,0,0
did:plc:22dn52nqxqzl5deex74u67db,0,0
did:plc:22fudzaxnal4ddodzv2o6mwk,0,0
did:plc:22h4ielakn7mno47fpsfyl2l,0,0
did:plc:22hr43jug7e6bpdqhas2s74n,0,0
did:plc:22j7q6b4gz65po3hoe7reiiu,0,0
did:plc:22pon7kiunnynxuzjuojbc6p,0,0
did:plc:22qzvzq2lxbrtmnjlcaycozn,0,0
did:plc:22s3osblieou32v5zvypclks,0,0
did:plc:22u3zxnqw6ytqe45dguwe2g7,0,0
did:plc:22uid7bomqbz55273d25yli5,0,0
did:plc:22uqfw5yhildayatdnyuxinv,0,0
did:plc:22vqllaygrh2elw5sw6fqlkc,0,0
did:plc:22wyolspg4awhmmihta2oyq7,0,0
did:plc:22x4r46sdd6qkyjb5zf5gf42,0,0
did:plc:22y3xt2nhuakp4ewlljjqmk7,0,0
did:plc:232okr3ysiwpssb4yfun6cni,0,0
did:plc:233rfk3mmn7snv4loszhrfu7,0,0
did:plc:2343ekue3iwnglmtl6twe66x,0,0
did:plc:23frguzjyakriewsvsxd2oyo,1,-1
did:plc:23hdqgprs6wxmujl5kgomnsq,0,0
did:plc:23hhkrxvnza726flybfpvgyd,0,0
did:plc:23jufcrslkpndcpnxbsax3yc,0,0
did:plc:23kyc35kxpg4b3fmejeicxm4,0,0
did:plc:23nmmcpkziwlmtt7zfgdpofi,0,0
did:plc:23nurqx7bfnrocnor5bdsm5z,0,0
did:plc:23ofrdrghovoex3colsff35u,0,0
did:plc:23pec53lx34n3jzpkv2dvblm,0,0
did:plc:23pvehetawp23kjj7ai6p5gy,0,0
did:plc:23qkc36ivpinhpta54yq4j5m,0,0
did:plc:23t72t3vkn62dqkbgaqxbxd4,0,0
did:plc:23tblezbfev4mi7x7iu6biyw,0,0
did:plc:23tqygxgyfdtqtoxnote4icv,0,0
did:plc:23xfypd22de6n3xbktqmukcp,0,0
did:plc:23xpgjkz3mkby6chabri3fq7,0,0
did:plc:23y5owgwj4yq4q2tcza757l7,0,0
did:plc:23z63q47ooarp4mnp5vepspu,0,0
did:plc:23z6a3ioayjdf2padowvwiof,0,0
did:plc:242hrsklzlgmrdbv4e2h2ezx,0,0
did:plc:2436iin4c6zy63ccwujkehpo,0,0
did:plc:243a53rvtt3sfyuoxyus4sw5,0,0
did:plc:243b7tcliwfes7kbfncsamt2,0,0
did:plc:245p6bt7ajkaviwncnwzpslk,0,0
did:plc:247htjcbf5htjxwq7mtc7t3t,0,0
did:plc:24dflngb2f5yqpww5facvq2b,0,0
did:plc:24f6cf5lzgvxba3hn5wiejeg,0,0
did:plc:24je276xut6snvtsl47xayy3,0,0
did:plc:24kfdq2fyxbrw2bisrynhxfo,0,0
did:plc:24kiwvomeuxb3u2sixjgt7gd,0,0
did:plc:24md3v44b3swolcrjkvi4wpx,0,0
did:plc:24mewsipb33s5i6bnk7o5utr,0,0
did:plc:24mhqnwsg7loien7kd35bfvz,0,0
did:plc:24myf7oht4pvw4g3yvqrhlb4,0,0
did:plc:24o6q2q3bbor6rocb7uv5nzt,0,0
did:plc:24oenooz3nkpchyifqvh7xcx,0,0
did:plc:24ogs2kibj4r37nsjv7y244x,0,0
did:plc:24qv55dpdury3n7mtxnuqrni,0,0
did:plc:24rcynhxnvsecs7qcnza6udc,0,0
did:plc:24rekmk4b6rwf25zf6o26z6c,0,0
did:plc:24s5f5i2oumvi4qmtzdzmzij,0,0
did:plc:24uclw42dpkfi6dmblsnaaqu,0,0
did:plc:24xrc24xhsziydeussxkpnno,0,0
did:plc:24yvqbye2pmph2qadbptj62w,0,0
did:plc:253plwamonfrphga44acfjoz,0,0
did:plc:25424oc5zw4w6ofqydy7kdjz,0,0
did:plc:254arpphlantpcfnnhgnqwj4,0,0
did:plc:257wekqxg4hyapkq6k47igmp,0,0
did:plc:25bpqfxykl3zlr2nbowb22ow,0,0
did:plc:25c5e3zwrqnshjmxhjljiddr,0,0
did:plc:25cztqjrqfedqg22bpoqjljr,0,0
did:plc:25emeum3adu4um36ul35ilr7,0,0
did:plc:25evzskothc7swxo64lsjcii,0,0
did:plc:25gqcw7lfpkcsbxyri2rglqn,0,0
did:plc:25i54a3g3bropypupqusfn23,0,0
did:plc:25i6wp6mtvqgbjf2tagbyjv7,0,0
did:plc:25j6e3ag2b4s7zs2o74xlhmz,0,0
did:plc:25myp3elbzbuaijh5v5ufcqx,0,0
did:plc:25ptot5qmhrcv2x6mdypwnzd,0,-1
did:plc:25r7ftebshhusr6n6zvuvvao,0,0
did:plc:25twcc54z5fpxg2kpxahdjrc,0,0
did:plc:25uescy7erzfiythkgwahzgd,0,0
did:plc:25uhpqewvsm4rrikfifiodpj,0,0
did:plc:25wik2ghzpqnmjcojlm5e2bv,0,0
did:plc:25xawumvjmehxwq65liffsp7,0,0
did:plc:25z5d2qf4yvccyjj5z3uxy2s,0,0
did:plc:25zrllablzxyz73u5xcgdqb6,0,-1
did:plc:2626ber2lqggicant3larusc,0,0
did:plc:266nlwienp2k57elnv4nb74z,0,0
did:plc:267gk63q3nctbw35d4qdyc5x,0,0
did:plc:26acnobx6p4i7hs2pxchvsnc,0,0
did:plc:26ctyf7l3ps632bherwfkcyb,0,0
did:plc:26czq5wt27kpqwtntxdzbqfi,0,0
did:plc:26egrz3yparsu2k3s4xppzqk,0,0
did:plc:26gfa6p5whufmrnto4iqsauy,0,0
did:plc:26gyq2ufcswggf5yb5ol5r33,0,0
did:plc:26ikqrmp3kaexk6zh2kfat54,0,0
did:plc:26imleklccm3rhxnnhvrgfax,0,0
did:plc:26op7qpcxcdgrj6kfc6yki4b,0,0
did:plc:26q3fatxuqhehqbcg5l6nolw,0,0
did:plc:26qnrmv4rvj2yer3ousj3njy,0,0
did:plc:26qzw4sy4mmrgtsrnda4isnv,0,0
did:plc:26umutp5ezmc6trgfbbega5c,0,0
did:plc:26w5bdicfgh4bcfkfyjcjkdp,0,0
did:plc:26wz2xpe25htbxkxkij3kbsz,0,0
did:plc:26yksgrm2ik5zixmulfwms56,0,0
did:plc:2734eqdf4pmnlcnoyzse6p3s,0,0
did:plc:273gpt3clmqm4aboggv5vqq7,0,0
did:plc:276koi6ux5yprbx7vq6vmx3r,0,0
did:plc:277xepw5ajhghc6ot6c5ybus,0,0
did:plc:277z7oz767lcqgm2we54usca,0,0
did:plc:27ar3deiilzltbvajlui6x6u,0,0
did:plc:27ctw6epmprakqsoqjuxs53z,0,0
did:plc:27di4ko5wrzsamoekykzmifc,0,0
did:plc:27fxqfnalyltosz7si3nkjox,0,0
did:plc:27le5cutav3gbyzgmpovd2k4,0,0
did:plc:27p5vrhuvecsijlyhe6n7rot,0,0
did:plc:27sct3cpj4bbkgoek7tudrwu,0,0
did:plc:27senfjiohceeg3zikkhvh32,0,0
did:plc:27t5dcg3nnv3dbraonf45woh,0,0
did:plc:27td5xdkw27ljixt62hvjtgp,0,0
did:plc:27vrhkvw2oszs2nuwmgrv2qy,0,0
did:plc:27w6uqouz6bnc3byly7ugzmf,0,0
did:plc:27w7ydu4wk5roxmhqhxw2zjh,0,0
did:plc:27whpfn6fj6ud4j22brqa2mg,0,0
did:plc:27wl2uadjxag5hmkz7tyxy7k,0,0
did:plc:27zro4vnnsft64eidkyrlaip,0,0
did:plc:27zvv2ufezelxoedirbjd6gg,0,0
did:plc:2a2zixblzy3cguuz23ajxzkf,0,0
did:plc:2a3cmtteolppg74cixawo2ns,0,0
did:plc:2a5fxwszqccptqmpj2oyqdo5,0,0
did:plc:2a5q3t4pgk3zhctyf4uxlhel,0,0
did:plc:2a6467lkgeow52scdgvrlhej,0,0
did:plc:2abipfrqr6eqtizsywmpqpe2,0,0
did:plc:2aeyklazrklipvpwejpigc6b,0,0
did:plc:2agah6f4mstjpeney5lujnj5,0,0
did:plc:2ahkutsbnxqjlzc5wb473ehs,0,0
did:plc:2amfb6qpbabshk6zqd65zjpy,0,0
did:plc:2amqgcf7jucantqe5ox7hze7,0,0
did:plc:2an6lgk6mjcpxotw2xiq3zzc,0,0
did:plc:2aoeijymtuzbcgmvwkmwjatk,0,0
did:plc:2ap7xtr3kq2hbrtnhf2nrjcp,0,0
did:plc:2aqxwjb7sjjsrxvumkarj75k,0,0
did:plc:2atnpkz4ricsbyznx3s42opz,0,0
did:plc:2atvapcw3pc5jpbxvoywejsw,0,0
did:plc:2axbrkpbr2aopqqtkzo3ahlp,0,0
did:plc:2az2slcnhcpcq7s6v7tdywvo,0,0
did:plc:2b4mrymq27aexcjybugbc6kg,0,0
did:plc:2b4tsqp7a47hhyk3weki7epo,0,0
did:plc:2b5b6n5w6zjxziyrp46j3ysp,0,0
did:plc:2barbff7p4hf5xylaet5pgys,0,0
did:plc:2bdfv2evq7zgphz3k4uijf4a,0,0
did:plc:2bejacqnlm36xsrjvwzzxk2g,0,0
did:plc:2beqnmkrj7ntt5aluh3uhbe4,0,0
did:plc:2bhca7upmtx6xwzbbiahfpl4,0,0
did:plc:2biq7kqo5nrapvfnu2wvmxj4,0,0
did:plc:2bnru3l4lbnxwbpdpywsmtnq,0,0
did:plc:2bqo6jjgcg7vax345aqkfgmh,0,0
did:plc:2bquc5tt633sjqrhuf6elprg,0,0
did:plc:2bskha6bb4dzooxvci4jvp43,0,0
did:plc:2bvqeocyseoi4cs3vhzio67g,0,0
did:plc:2bxrnfaafxaitdkproyf3kxt,0,0
did:plc:2bz7tvrbbx6z2dv3sm2c75pv,0,0
did:plc:2c3lj2muraogmhqys7h2swvu,0,0
did:plc:2c3tlkj4leets4em5uufhusd,0,0
did:plc:2c5nxcosy62w7op62rzvcgeu,0,0
did:plc:2cc7wosvur5lrhlqx4d5jp77,0,-1
did:plc:2cd3wnxeii6gaacd3yb2smzo,0,0
did:plc:2cetl4whopumlurogekzkomm,0,0
did:plc:2cfsxefpwo4r3a2ghlia66a3,0,0
did:plc:2cgb3bemzvkxfxy2xfljecbp,0,0
