,Logistic Regression,Logistic Regression (Balanced),Random Forest,Random Forest (Balanced),XGBoost,XGBoost (Balanced),XGBoost (Lasso)
before_open,2.0291875743197685,5.300662247954946,0.01610821349357301,0.10423801355195199,0.211543,0.3420614,0.34157598
bio length,0.5880144222747207,0.36248457485993685,0.22509429711202877,0.1289313129305166,0.032377627,0.01770332,0.013631952
bio_emoji_count,-0.20495501347295214,-0.3275998402059618,0.048369016677949385,0.037942730505624044,0.034123223,0.019198785,0.015918875
bio_has_emoji,0.11136695756213788,0.22989472190422275,0.014142783579855324,0.014430455634951673,0.04233206,0.022015177,0.018734658
bio_has_hashtag,0.024102344338484582,0.06042055937226142,0.007426118938155758,0.00743820470598173,0.0283401,0.010304643,0.007988774
bio_hashtag_count,0.13629156954924657,0.11857647218998649,0.027516930917796216,0.018751416573306298,0.030037768,0.010789474,0.011238974
default_domain,-0.05416533979329847,-0.0824928320008296,0.014671243940838026,0.01215580785497577,0.035279986,0.008300169,0.0057533383
first post body length,-0.31783347856473954,-0.2804836642183155,0.21415215863812911,0.12221526698437885,0.031458504,0.02026612,0.016478691
first_is_quote,-0.040569101048906896,0.07274289578517912,0.009568448649977072,0.006746662913861793,0.032404296,0.020161273,0.02147851
first_is_reply,-0.4930138202299993,-0.27110005883656907,0.008817696328192846,0.020920057990493825,0.033999115,0.015555856,0.011453638
has_mentions_in_bio,-0.39398751938029875,-0.4303320443626132,0.006656640084808476,0.013501908050797424,0.034579214,0.02930019,0.032446906
has_mentions_in_first_post,0.0829421238889856,0.06937908776170933,0.012205659876017325,0.005504774954229256,0.085190274,0.006886028,0.0035526874
has_url_in_bio,-0.300052954882312,-0.6174006259736811,0.00020826910883331638,0.001124980602409059,0.0,0.008809223,0.0064985794
has_url_in_first_post,-0.2508531452715493,-0.505828216560762,0.00010648495634680404,0.0005391037567040474,0.0,0.0,0.0
is_Actor,-0.19846531931383843,-6.509863401693545,0.00017155075485181733,0.00024106975619681318,0.0,0.0,0.0
is_Actress,-0.07255516334369222,-0.08242510858805478,4.084321043265391e-06,7.839581472220565e-06,0.0,0.0,0.0
is_Agent,0.039878791644440595,-0.041154979961608266,0.0007841910405778252,0.0005846571512948454,0.0,0.0,0.0088989725
is_Analyst,-0.09084668836597716,-0.23389569927590667,3.6037821502928794e-06,4.63584427300704e-05,0.0,0.0,0.0
is_Anthropologist,-0.07571034373165929,-0.14437845197251611,7.36622491689732e-05,4.23988704865791e-05,0.0,0.0,0.0
is_Archaeologist,-0.08162210020165517,-0.15533843080720577,5.854461885633438e-05,3.3266090926205424e-05,0.0,0.0,0.0
is_Architect,-0.08671626358289292,-0.17337315874736134,7.865293461235787e-05,4.892772351464502e-05,0.0,0.0,0.0
is_Archivist,-0.06649141163830458,-0.1242313615914359,5.6015725275508174e-05,3.1891259833707274e-05,0.0,0.0,0.0
is_Artist,0.14188447663369122,0.26685740204815606,0.003344578855761694,0.005026856340762508,0.018097114,0.012899442,0.01046064
is_Arts,-0.18542239212740516,-0.3934379576077254,0.00022208782696026892,0.00022170045770475555,0.0,0.0,0.0
is_Assistant,-0.3047564416874758,-0.571773558475012,0.00033959771021321416,0.001710992189611873,0.0,0.008141977,0.0
is_Astronomer,-0.07661173885549967,-0.14854703653904272,8.607235988802781e-06,2.4641109179771737e-05,0.0,0.0,0.0
is_Baker,-0.05907197220388103,-0.13539466797146965,3.4765949969190167e-06,1.5543241349019736e-05,0.0,0.0,0.0
is_Barrister,-0.029956716870058034,-0.06227974039914633,1.0959217451801883e-05,2.2587438548034935e-06,0.0,0.0,0.0
is_Biochemist,-0.043655725989648494,-0.08013336198817575,1.9026120067692985e-06,2.500899736451135e-07,0.0,0.0,0.0
is_Biologist,0.10220369584595666,0.08471941825745027,0.0010672277643142332,0.0007903248500754574,0.0,0.016886847,0.002056936
is_Brewer,-0.06202089782109511,-0.10534230526312274,2.850065699524429e-07,8.339166420428242e-06,0.0,0.0,0.0
is_Broadcaster,-0.0398174266474139,-0.11726797448409809,7.791534270988659e-08,1.6468816363442218e-06,0.0,0.0,0.0
is_Builder,-0.04849467599123771,-0.12629783423651936,3.822437465611239e-05,4.21055203911079e-05,0.0,0.0,0.0
is_Cartoonist,-0.13681255842388637,-0.26303150139535425,0.0002483746387023682,0.00015586763715674356,0.0,0.0,0.0
is_Chef,-0.10422937853723997,-0.21932743930141368,3.641002458686633e-05,4.6769934900574504e-05,0.0,0.0,0.0
is_Chemist,-0.07394273338402003,-0.13730682632520488,4.216438921970677e-05,2.0597873084396267e-05,0.0,0.0,0.0
is_Consultant,-0.11139193565719958,-0.22630754451585472,0.0001432065008135097,5.6687266376957426e-05,0.0,0.0,0.0
is_Doctor,-0.1525799298622514,-0.30273307903445495,0.00015566651414037,0.00014269497949702842,0.0,0.0,0.0
is_Economist,0.18729049857558064,0.1960519339189343,0.004024926915348699,0.0017575079801101165,0.0,0.008260056,0.009157905
is_Editor,-0.40016471601953224,-0.8069521896743808,0.0007984098670443112,0.0033404449999382625,0.020418238,0.025212074,0.03161477
is_Engineer,-0.15019132176804081,-0.2962434101253051,0.00011520252910561518,0.00025635668689204396,0.0,0.0,0.0
is_Entertainer,-0.04905669820926271,-0.09167516949884792,1.0813150416533533e-06,2.0814626024746952e-05,0.0,0.0,0.0
is_Executive,-0.15238483905730751,-0.2749746542285803,9.399725924739904e-05,0.00010318088012586307,0.0,0.0,0.0
is_Gardener,-0.08991486958863344,-0.1681611879151692,1.2791630548372786e-05,2.2312351086455e-05,0.0,0.0,0.0
is_Goldsmith,-0.052901792605664175,-0.08997890473096765,1.3406955523477257e-05,1.0142620085356442e-06,0.0,0.0,0.0
is_Governor,-0.027223033249811644,-0.09715604381679654,1.747947287389478e-05,1.285384294086715e-16,0.0,0.0,0.0
is_Graphic_Designer,-0.06359535635951277,-0.15576604380565276,5.126556842380977e-05,2.5225957865131766e-05,0.0,0.0,0.0
is_Historian,-0.2876842242394899,-0.5458973947376801,0.0009180553844981301,0.001505571710469518,0.01828778,0.020383852,0.029528333
is_Illustrator,-0.3580667552359664,-0.724569735082329,0.0008352703290591619,0.0025101539615735814,0.02301848,0.02921273,0.03861092
is_Instructor,-0.04255090501074139,-0.07949377623467829,6.350818449668301e-06,8.9172706037697e-06,0.0,0.0,0.0
is_Investigator,-0.047059076107707175,-0.07861477198265858,5.146872012011985e-06,9.620785754963848e-07,0.0,0.0,0.0
is_Journalist,0.08925386650465508,0.22034455178648335,0.0011055125502322017,0.001830691608808157,0.0,0.009814692,0.0061371387
