author_did,has_mentions_in_bio,has_mentions_in_first_post,has_url_in_bio,has_url_in_first_post
did:plc:2224x6c53tqc6dpnbamce2yg,False,False,False,False
did:plc:222h35q7urjpjafryjwqn3ae,False,False,False,False
did:plc:223surfias2t3sgc3nlumah5,False,False,False,False
did:plc:224izruakrnberlqshv5kg2p,False,False,False,False
did:plc:224jzjuk3s5kk3zzsezg643r,False,True,False,False
did:plc:225g4y2e35b4fylvbsbe752f,False,False,False,False
did:plc:225s45yvh5e6q27lfffzrzm4,False,False,False,False
did:plc:227eqyr6a7ug4vp5q2bwomc4,False,False,False,False
did:plc:227igwldhxawkqptn2p6hhen,True,False,False,False
did:plc:227ktaxmuhodbvml5giclapy,False,True,False,False
did:plc:227qnypcxaxvwaka5czhgz72,True,False,False,False
did:plc:22apb7gvrkbrlmti567ywiti,False,False,False,False
did:plc:22ari5hf4gpzqlvbkqppfmcq,False,False,False,False
did:plc:22bnppn7mrx35irpyk7tlqw2,False,False,False,False
did:plc:22coqmaear2fwlrollu5hoax,False,False,False,False
did:plc:22dn52nqxqzl5deex74u67db,False,False,True,False
did:plc:22fudzaxnal4ddodzv2o6mwk,False,False,False,False
did:plc:22h4ielakn7mno47fpsfyl2l,False,False,False,False
did:plc:22hr43jug7e6bpdqhas2s74n,False,False,False,False
did:plc:22j7q6b4gz65po3hoe7reiiu,False,False,False,False
did:plc:22pon7kiunnynxuzjuojbc6p,False,False,False,False
did:plc:22qzvzq2lxbrtmnjlcaycozn,False,False,False,False
did:plc:22s3osblieou32v5zvypclks,False,False,False,False
did:plc:22u3zxnqw6ytqe45dguwe2g7,False,False,False,False
did:plc:22uid7bomqbz55273d25yli5,False,False,False,False
did:plc:22uqfw5yhildayatdnyuxinv,False,False,False,False
did:plc:22vqllaygrh2elw5sw6fqlkc,True,False,False,False
did:plc:22wyolspg4awhmmihta2oyq7,False,False,False,False
did:plc:22x4r46sdd6qkyjb5zf5gf42,True,False,False,False
did:plc:22y3xt2nhuakp4ewlljjqmk7,True,False,False,False
did:plc:232okr3ysiwpssb4yfun6cni,False,False,False,False
did:plc:233rfk3mmn7snv4loszhrfu7,False,False,False,False
did:plc:2343ekue3iwnglmtl6twe66x,False,True,False,False
did:plc:23frguzjyakriewsvsxd2oyo,False,False,False,False
did:plc:23hdqgprs6wxmujl5kgomnsq,False,False,False,False
did:plc:23hhkrxvnza726flybfpvgyd,False,False,False,False
did:plc:23jufcrslkpndcpnxbsax3yc,False,False,False,False
did:plc:23kyc35kxpg4b3fmejeicxm4,False,False,False,False
did:plc:23nmmcpkziwlmtt7zfgdpofi,False,False,False,False
did:plc:23nurqx7bfnrocnor5bdsm5z,False,False,False,False
did:plc:23ofrdrghovoex3colsff35u,True,False,False,False
did:plc:23pec53lx34n3jzpkv2dvblm,False,False,False,False
did:plc:23pvehetawp23kjj7ai6p5gy,False,False,False,False
did:plc:23qkc36ivpinhpta54yq4j5m,False,False,False,False
did:plc:23t72t3vkn62dqkbgaqxbxd4,True,False,False,False
did:plc:23tblezbfev4mi7x7iu6biyw,True,False,False,False
did:plc:23tqygxgyfdtqtoxnote4icv,False,False,False,False
did:plc:23xfypd22de6n3xbktqmukcp,False,False,False,False
did:plc:23xpgjkz3mkby6chabri3fq7,True,False,False,False
did:plc:23y5owgwj4yq4q2tcza757l7,,False,,False
did:plc:23z63q47ooarp4mnp5vepspu,False,False,False,False
did:plc:23z6a3ioayjdf2padowvwiof,False,True,False,False
did:plc:242hrsklzlgmrdbv4e2h2ezx,False,False,False,False
